  1    1   1.0078   1.008   0.071486  4.271 1.0309  1.0
    0.0091827 0.0053496 0.69741 0.48493 316.07 1.0143 9329.3 0.053989
  2    4   4.0026   4.0026  0.12588   1.894 0.15976 1.0
    0.11393 0.0051984 1.0822 0.39252 1081.0 1.0645 4068.5 0.017699
  3    7   7.016    6.939   0.52969   4.597 0.59782 1.1
    0.85837 0.0050147 1.6044 0.38844 1337.3 1.047 2659.2 0.01898
  6   12  12.0     12.011   2.2662   11.364 1.0     1.03
    3.2579 0.0049148 2.7156 0.36473 2092.2 1.0291 2643.6 0.018237
  7   14  14.003   14.007   0.80963   3.481 1.058   1.04
    0.59674 0.0050837 4.2073 0.30612 2394.2 1.0255 4892.1 0.016006
  8   16  15.995   15.999   1.1429    4.302 0.93942 0.99
    0.75253 0.0050314 4.0824 0.30067 2455.8 1.0181 5069.7 0.017426
 10   20  19.992   20.183   1.2015    3.585 0.3424  0.9
    1.0332 0.0051645 3.004 0.33889 2338.6 0.99997 6991.2 0.021799
 12   24  23.985   24.312   1.7366    4.302 0.71074 0.81
    14.013 0.0043646 2.2641 0.36326 2187.4 0.99098 6264.8 0.0462
 14   28  27.977   28.086   2.3212    4.977 0.97411 0.88
    2.072 0.0044516 3.5585 0.53933 1515.2 0.93161 1790.3 0.035198
 16   32  31.97    32.064   2.0686    3.885 0.89852 0.95
    16.126 0.0038315 0.054164 1.3104 2813.3 0.96587 1251.4 0.011847
 18   40  39.98    39.948   1.6504    2.488 0.39816 0.99
    2.0379 0.0044775 3.0743 0.54773 3505.0 0.97575 1714.0 0.011701
 20   40  39.96    40.08    1.54      2.014 0.62712 0.97
    9.1316 0.0043809 5.4611 0.31327 3891.8 0.97933 6267.9 0.015196
 26   56  55.94    55.847   7.8658    8.483 0.92705 0.9
    0.027426 0.0035443 0.031563 2.1755 1919.5 0.90099 23.902 0.025363
 36   84  83.92    83.8     2.6021    1.87  0.37755 0.92
    1.8301 0.0042983 2.9057 0.6038 4744.6 0.94722 936.64 0.0092242
 54  130 129.5    131.3     3.0589    1.403 0.43289 1.2
    4.0818 0.004214 4.4425 0.58393 3945.3 0.90281 1340.5 0.013414
 55  134 134.0    132.91    1.8986    0.86  0.32636 0.9
    0.18517 0.0036215 0.00058788 3.5315 2931.5 0.88936 26.18 0.026393
 79  197 197.0    196.97   19.311     5.904 1.2879  1.14
    2.0035 0.0040431 7.4882 0.3561 4464.3 0.88836 3966.5 0.012839
 92  238 238.04   238.04   19.043     4.818 1.0257  1.16
    2.7589 0.0039806 3.2092 0.66122 2505.4 0.82863 2065.1 0.022816

